Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Experience_Band,Income_Band,Job_Sector,Labour_Group
Research Scientist,64986,26,PhD,0.75,1.36,0.21,Low,0.86,0.11,0.35,0.88,0.2,0.08,0.79,0.84,0.16,0.85,Expert/Late,Middle,Research & Development,Digital_Creative
Financial Analyst,30944,9,High School,0.52,1.33,0.47,Medium,0.19,0.28,0.51,0.53,0.81,0.79,0.58,0.78,0.19,0.05,Mid-Level,Middle,Finance & Professional Services,Private_Professional
HR Specialist,60540,11,Master's,0.08,0.75,0.58,Medium,0.41,0.88,0.3,0.01,0.3,0.58,0.38,0.53,0.88,0.91,Senior,Middle,Business & Professional Services,Private_Professional
Data Scientist,87410,12,Bachelor's,0.46,1.05,0.68,Medium,1.0,0.24,0.73,0.38,0.01,0.01,0.46,0.49,0.02,0.69,Senior,Middle,Digital & Technology,Digital_Creative
Data Scientist,148362,2,Master's,0.56,0.8,0.37,Medium,0.41,0.23,0.53,0.2,0.51,0.16,0.67,0.75,0.11,0.47,Early Career,High,Digital & Technology,Digital_Creative
Software Engineer,72460,12,Master's,0.6,0.76,0.51,Medium,0.52,0.92,0.55,0.58,0.4,0.95,0.78,0.29,0.84,0.43,Senior,Middle,Digital & Technology,Digital_Creative
Chef,130257,4,Master's,0.82,0.69,0.58,Medium,0.29,0.3,0.3,0.73,0.23,0.0,0.72,0.17,0.1,0.24,Early Career,High,Hospitality & Catering,Manual_Trade_Service
Truck Driver,106054,29,High School,0.48,0.54,0.94,High,0.72,0.32,0.32,0.45,0.63,0.15,0.19,0.86,0.26,0.38,Expert/Late,High,Transport & Logistics,Manual_Trade_Service
Teacher,139588,26,PhD,0.66,0.84,0.22,Low,0.02,0.74,0.49,0.81,0.95,0.93,0.91,0.51,0.36,0.47,Expert/Late,High,Education,Public_Sector
HR Specialist,97143,15,Bachelor's,0.88,0.71,0.67,Medium,0.82,0.98,0.88,0.28,0.11,0.11,0.29,0.61,0.8,0.9,Senior,Middle,Business & Professional Services,Private_Professional
Mechanic,49798,14,PhD,0.01,0.69,0.34,Medium,0.36,0.5,0.04,0.35,0.18,0.65,0.46,0.5,0.43,0.96,Senior,Middle,Transport & Automotive Services,Manual_Trade_Service
Doctor,87748,7,PhD,0.52,1.24,0.19,Low,0.93,0.38,0.46,0.09,0.61,0.29,0.16,0.54,0.53,0.08,Mid-Level,Middle,Health & Social Care,Public_Sector
Retail Worker,46254,16,High School,0.62,0.69,0.82,High,0.72,0.53,0.4,0.32,0.61,0.94,0.67,0.07,0.46,0.89,Senior,Middle,Retail & Consumer Services,Manual_Trade_Service
Chef,75211,1,Bachelor's,0.99,1.45,0.33,Medium,0.93,0.36,0.84,0.42,0.44,0.63,0.77,0.03,0.59,0.19,Entry/Junior,Middle,Hospitality & Catering,Manual_Trade_Service
HR Specialist,39695,6,PhD,0.35,0.97,0.43,Medium,0.11,0.15,0.03,0.47,0.95,0.12,0.95,0.73,0.64,0.65,Mid-Level,Middle,Business & Professional Services,Private_Professional
Mechanic,57740,0,Bachelor's,0.11,1.0,0.58,Medium,0.59,0.83,0.07,0.69,0.53,0.38,0.34,0.62,0.89,0.5,Entry/Junior,Middle,Transport & Automotive Services,Manual_Trade_Service
Security Guard,99306,14,Bachelor's,0.4,0.6,0.72,High,0.05,0.38,0.34,0.72,0.74,0.05,0.22,0.27,0.55,0.14,Senior,Middle,Security & Protective Services,Manual_Trade_Service
UX Researcher,54524,17,High School,0.42,0.57,0.5,Medium,0.46,0.77,0.66,0.45,0.22,0.73,0.71,0.15,0.91,0.06,Senior,Middle,Digital & Creative Industries,Digital_Creative
UX Researcher,92345,23,Bachelor's,0.19,1.41,0.51,Medium,0.79,0.23,0.49,0.36,0.83,0.02,0.24,0.15,0.86,0.47,Expert/Late,Middle,Digital & Creative Industries,Digital_Creative
Teacher,93220,27,Master's,0.45,1.47,0.26,Low,0.71,0.29,0.17,0.92,0.42,0.28,0.47,0.92,0.39,0.56,Expert/Late,Middle,Education,Public_Sector
Lawyer,108610,13,Master's,0.43,0.73,0.7,Medium,0.96,0.84,0.69,0.29,0.91,0.28,0.8,0.92,0.6,0.8,Senior,High,Legal Services,Private_Professional
Financial Analyst,64722,23,Bachelor's,0.19,1.17,0.34,Medium,0.51,0.16,0.42,0.83,0.99,0.32,0.53,0.51,0.95,0.48,Expert/Late,Middle,Finance & Professional Services,Private_Professional
Security Guard,70910,20,PhD,0.92,0.87,0.93,High,0.92,0.93,0.27,0.4,0.87,0.36,0.6,0.12,0.06,0.41,Expert/Late,Middle,Security & Protective Services,Manual_Trade_Service
AI Engineer,138347,21,Bachelor's,0.78,0.96,0.22,Low,0.39,0.16,0.4,0.58,0.95,0.07,0.51,0.33,0.51,0.02,Expert/Late,High,Digital & Technology,Digital_Creative
Marketing Manager,58152,13,Master's,0.82,1.05,0.48,Medium,0.29,0.3,0.38,0.84,0.97,0.44,0.39,0.85,0.43,0.55,Senior,Middle,Marketing & Professional Services,Private_Professional
Lawyer,95063,3,PhD,0.74,1.03,0.62,Medium,0.78,0.22,0.72,0.8,0.35,0.17,0.0,0.45,0.35,0.55,Early Career,Middle,Legal Services,Private_Professional
Retail Worker,125761,21,PhD,0.86,0.76,0.76,High,0.48,0.5,0.22,0.27,0.17,0.72,0.77,0.46,0.71,0.74,Expert/Late,High,Retail & Consumer Services,Manual_Trade_Service
Graphic Designer,31645,4,High School,0.97,1.32,0.38,Medium,0.19,0.13,0.14,0.75,0.47,0.78,0.75,0.6,0.69,0.02,Early Career,Middle,Creative Industries,Digital_Creative
Customer Support,73262,2,PhD,0.64,0.51,0.71,High,0.85,0.68,0.27,0.69,0.79,0.31,0.04,0.93,0.35,0.11,Early Career,Middle,Customer Service,Manual_Trade_Service
Retail Worker,51730,25,High School,0.77,0.72,0.77,High,0.24,0.99,0.2,0.58,0.93,0.15,0.97,0.95,0.88,0.21,Expert/Late,Middle,Retail & Consumer Services,Manual_Trade_Service
Security Guard,123878,5,Bachelor's,0.76,0.77,0.82,High,0.82,0.27,0.19,0.68,0.53,0.51,0.26,0.03,0.41,0.11,Mid-Level,High,Security & Protective Services,Manual_Trade_Service
Software Engineer,89300,11,High School,0.04,0.93,0.32,Medium,0.1,0.66,0.65,0.03,0.0,0.08,0.76,0.58,0.04,0.49,Senior,Middle,Digital & Technology,Digital_Creative
Data Scientist,131971,5,Bachelor's,0.87,1.43,0.43,Medium,0.14,0.24,0.78,0.97,0.47,0.31,0.43,0.3,0.26,0.59,Mid-Level,High,Digital & Technology,Digital_Creative
HR Specialist,113441,10,Bachelor's,0.26,1.16,0.31,Medium,0.08,0.29,0.88,0.76,0.02,0.5,0.27,0.65,0.72,0.86,Senior,High,Business & Professional Services,Private_Professional
Customer Support,87589,15,Bachelor's,0.99,1.48,0.92,High,0.57,0.4,0.36,0.01,0.25,0.72,0.6,0.92,0.05,0.16,Senior,Middle,Customer Service,Manual_Trade_Service
Graphic Designer,113446,8,High School,0.73,1.31,0.64,Medium,0.99,0.29,0.71,0.12,0.41,0.85,0.37,0.59,0.5,0.65,Mid-Level,High,Creative Industries,Digital_Creative
Retail Worker,135301,25,Master's,0.06,1.07,0.92,High,0.48,0.08,0.56,0.33,0.15,0.85,0.52,0.93,0.81,0.69,Expert/Late,High,Retail & Consumer Services,Manual_Trade_Service
Lawyer,118552,4,Master's,0.43,0.7,0.66,Medium,0.17,0.29,0.52,0.26,0.21,0.6,0.09,0.06,0.37,0.72,Early Career,High,Legal Services,Private_Professional
Marketing Manager,148977,29,PhD,0.42,1.07,0.45,Medium,0.94,0.05,0.67,0.89,0.8,0.18,0.3,0.72,0.08,0.81,Expert/Late,High,Marketing & Professional Services,Private_Professional
UX Researcher,48715,17,Master's,0.73,0.6,0.59,Medium,0.68,0.83,0.04,0.02,0.37,0.15,0.56,0.92,0.39,0.84,Senior,Middle,Digital & Creative Industries,Digital_Creative
HR Specialist,147045,19,PhD,0.17,0.53,0.43,Medium,0.91,0.1,0.61,0.45,0.94,0.12,0.21,0.03,0.43,0.28,Senior,High,Business & Professional Services,Private_Professional
Software Engineer,40196,16,High School,0.6,1.11,0.51,Medium,0.09,0.45,1.0,0.84,0.89,0.82,0.1,0.23,0.0,0.3,Senior,Middle,Digital & Technology,Digital_Creative
Truck Driver,141054,25,PhD,0.47,1.18,0.92,High,0.75,0.94,0.05,0.01,0.66,0.29,0.25,0.33,0.27,0.51,Expert/Late,High,Transport & Logistics,Manual_Trade_Service
Customer Support,132785,24,PhD,0.51,1.17,0.8,High,0.25,0.17,0.35,0.74,0.76,0.67,0.23,0.59,0.57,0.48,Expert/Late,High,Customer Service,Manual_Trade_Service
UX Researcher,123249,23,Master's,0.49,1.07,0.59,Medium,0.11,0.75,0.14,0.07,0.98,0.96,0.06,0.44,0.19,0.49,Expert/Late,High,Digital & Creative Industries,Digital_Creative
Research Scientist,62500,21,Bachelor's,0.95,1.13,0.14,Low,0.6,0.31,0.91,0.87,0.56,0.32,0.29,0.03,0.82,0.45,Expert/Late,Middle,Research & Development,Digital_Creative
Customer Support,136128,9,Bachelor's,0.49,1.41,0.91,High,0.15,0.71,0.44,0.25,0.69,0.74,0.18,0.91,0.75,0.93,Mid-Level,High,Customer Service,Manual_Trade_Service
AI Engineer,142109,8,Bachelor's,0.94,0.87,0.06,Low,0.76,0.7,0.6,0.49,0.03,0.62,0.42,0.56,0.43,0.97,Mid-Level,High,Digital & Technology,Digital_Creative
UX Researcher,87737,25,Master's,0.75,1.44,0.54,Medium,0.01,0.03,0.7,0.28,0.58,0.2,0.27,0.5,0.98,0.62,Expert/Late,Middle,Digital & Creative Industries,Digital_Creative
Teacher,121903,0,Master's,0.96,0.71,0.13,Low,0.77,0.87,0.52,0.99,0.01,0.3,0.62,0.47,0.12,0.37,Entry/Junior,High,Education,Public_Sector
AI Engineer,141654,27,High School,0.64,1.39,0.27,Low,0.7,0.47,0.51,0.14,0.34,0.19,0.82,0.91,0.54,0.73,Expert/Late,High,Digital & Technology,Digital_Creative
UX Researcher,50662,20,High School,0.61,1.2,0.48,Medium,0.24,0.88,0.74,0.9,0.82,0.99,0.19,0.09,0.34,0.13,Expert/Late,Middle,Digital & Creative Industries,Digital_Creative
Software Engineer,116755,1,Bachelor's,0.44,0.56,0.69,Medium,0.59,0.56,0.66,0.5,0.03,0.61,0.72,0.42,0.76,0.23,Entry/Junior,High,Digital & Technology,Digital_Creative
Data Scientist,133719,6,High School,0.16,0.87,0.64,Medium,0.83,0.38,0.59,0.72,0.24,0.17,0.97,0.62,0.98,0.34,Mid-Level,High,Digital & Technology,Digital_Creative
HR Specialist,127427,21,Bachelor's,0.34,1.04,0.57,Medium,0.63,0.46,0.56,0.28,0.02,0.63,0.25,0.67,0.75,0.92,Expert/Late,High,Business & Professional Services,Private_Professional
Chef,130628,7,PhD,0.01,1.49,0.57,Medium,0.64,0.02,0.86,0.15,0.84,0.02,0.65,0.43,0.2,0.11,Mid-Level,High,Hospitality & Catering,Manual_Trade_Service
Teacher,43686,3,High School,0.12,0.99,0.21,Low,0.83,0.68,0.07,0.31,0.29,0.92,0.87,0.37,0.07,0.89,Early Career,Middle,Education,Public_Sector
Research Scientist,57313,26,PhD,0.85,1.35,0.17,Low,0.18,0.48,0.49,0.49,0.54,0.26,0.37,0.43,0.13,0.46,Expert/Late,Middle,Research & Development,Digital_Creative
UX Researcher,91404,6,Master's,0.83,0.91,0.51,Medium,0.03,0.67,0.4,0.45,0.87,0.46,0.02,0.23,0.48,0.42,Mid-Level,Middle,Digital & Creative Industries,Digital_Creative
Financial Analyst,109794,20,Bachelor's,0.54,1.19,0.49,Medium,0.44,0.45,0.41,0.54,0.25,0.89,0.33,0.15,0.1,0.01,Expert/Late,High,Finance & Professional Services,Private_Professional
HR Specialist,49416,8,PhD,0.19,0.52,0.51,Medium,0.68,0.09,0.46,0.74,0.99,0.67,0.24,0.72,0.6,0.21,Mid-Level,Middle,Business & Professional Services,Private_Professional
Nurse,56162,9,High School,0.43,1.46,0.23,Low,0.64,0.73,0.48,0.51,0.85,0.68,0.9,0.89,0.98,0.7,Mid-Level,Middle,Health & Social Care,Public_Sector
Customer Support,85420,4,Bachelor's,0.17,1.21,0.77,High,0.28,0.24,0.88,0.87,0.63,0.47,0.67,0.61,0.42,0.38,Early Career,Middle,Customer Service,Manual_Trade_Service
Financial Analyst,82948,4,Bachelor's,0.59,1.15,0.48,Medium,0.97,0.08,0.35,0.42,0.02,0.36,0.27,0.51,0.34,0.73,Early Career,Middle,Finance & Professional Services,Private_Professional
Nurse,91336,8,PhD,0.16,1.29,0.3,Low,0.02,0.7,0.25,0.04,0.4,0.94,0.01,0.59,0.5,0.87,Mid-Level,Middle,Health & Social Care,Public_Sector
HR Specialist,104474,16,Master's,0.68,1.18,0.57,Medium,0.94,0.82,0.04,0.47,0.4,0.31,0.45,0.38,0.43,0.98,Senior,High,Business & Professional Services,Private_Professional
Customer Support,72628,8,Master's,0.92,0.98,0.86,High,0.83,0.36,0.43,0.41,0.37,0.93,0.83,0.11,0.11,0.43,Mid-Level,Middle,Customer Service,Manual_Trade_Service
Research Scientist,135494,19,High School,0.62,0.64,0.18,Low,0.01,0.32,0.68,0.48,0.98,0.87,0.36,0.05,0.85,0.91,Senior,High,Research & Development,Digital_Creative
Mechanic,71751,2,High School,0.37,0.58,0.59,Medium,0.0,0.05,0.0,0.65,0.42,0.3,0.91,0.19,0.39,0.94,Early Career,Middle,Transport & Automotive Services,Manual_Trade_Service
Truck Driver,86087,1,High School,0.55,0.58,0.9,High,0.42,0.8,0.25,0.42,0.79,0.97,0.06,0.81,0.3,0.55,Entry/Junior,Middle,Transport & Logistics,Manual_Trade_Service
Nurse,127425,29,High School,0.61,0.85,0.13,Low,0.04,0.15,0.92,1.0,0.78,0.29,0.4,0.74,0.97,0.46,Expert/Late,High,Health & Social Care,Public_Sector
Data Scientist,133587,16,Bachelor's,0.43,0.99,0.67,Medium,0.52,0.49,0.58,0.69,0.11,0.82,0.44,0.07,0.79,0.38,Senior,High,Digital & Technology,Digital_Creative
Security Guard,140373,5,Master's,0.63,1.38,0.92,High,0.96,0.87,0.0,0.38,0.82,0.37,0.6,0.61,0.37,0.9,Mid-Level,High,Security & Protective Services,Manual_Trade_Service
AI Engineer,133080,14,Bachelor's,0.13,1.09,0.21,Low,0.05,0.24,0.8,0.05,0.86,0.66,0.43,0.35,0.02,0.83,Senior,High,Digital & Technology,Digital_Creative
Chef,123012,20,PhD,0.31,1.07,0.4,Medium,0.5,0.81,0.47,0.95,0.85,0.33,0.4,0.42,0.63,0.29,Expert/Late,High,Hospitality & Catering,Manual_Trade_Service
Financial Analyst,76629,11,Master's,0.61,0.9,0.56,Medium,0.4,0.82,0.57,0.04,0.18,0.86,0.56,0.95,0.07,0.3,Senior,Middle,Finance & Professional Services,Private_Professional
Financial Analyst,33811,3,PhD,0.55,0.88,0.36,Medium,0.64,0.54,0.27,0.48,0.75,0.21,0.29,0.35,0.75,0.85,Early Career,Middle,Finance & Professional Services,Private_Professional
Teacher,95283,4,High School,0.3,1.39,0.3,Low,0.67,0.99,0.66,0.73,0.39,0.43,0.14,0.82,0.93,0.62,Early Career,Middle,Education,Public_Sector
Nurse,113205,1,High School,0.15,0.77,0.11,Low,0.61,0.95,0.05,0.0,0.6,0.28,0.88,0.33,0.29,0.27,Entry/Junior,High,Health & Social Care,Public_Sector
HR Specialist,100453,28,Bachelor's,0.58,0.67,0.47,Medium,0.46,0.02,0.02,0.52,0.7,0.94,0.18,0.1,0.05,0.44,Expert/Late,High,Business & Professional Services,Private_Professional
Nurse,68397,14,Master's,0.84,1.18,0.1,Low,0.46,0.91,0.33,0.5,0.96,0.73,0.75,0.25,0.41,0.08,Senior,Middle,Health & Social Care,Public_Sector
Lawyer,113824,10,Bachelor's,0.1,1.34,0.63,Medium,0.53,0.14,0.03,0.8,0.6,0.71,0.3,0.51,0.75,0.46,Senior,High,Legal Services,Private_Professional
Data Scientist,50758,26,Bachelor's,0.79,0.72,0.33,Medium,0.53,0.06,0.77,0.72,0.88,0.64,0.07,0.25,0.81,0.17,Expert/Late,Middle,Digital & Technology,Digital_Creative
Mechanic,135900,8,Master's,0.78,0.83,0.43,Medium,0.56,0.86,0.22,0.94,0.6,0.99,0.09,0.13,0.83,0.86,Mid-Level,High,Transport & Automotive Services,Manual_Trade_Service
AI Engineer,133613,11,PhD,0.71,1.37,0.06,Low,0.57,0.85,0.4,0.3,0.8,0.34,0.0,0.96,0.59,0.82,Senior,High,Digital & Technology,Digital_Creative
HR Specialist,93115,10,High School,0.07,0.67,0.42,Medium,0.32,0.66,0.62,0.49,0.21,0.38,0.54,0.47,0.13,0.65,Senior,Middle,Business & Professional Services,Private_Professional
Research Scientist,129683,11,Master's,0.38,1.21,0.06,Low,0.57,0.33,0.01,0.19,0.94,0.52,1.0,0.52,0.54,0.39,Senior,High,Research & Development,Digital_Creative
Marketing Manager,83013,15,Bachelor's,0.25,0.84,0.48,Medium,0.19,0.22,0.27,0.45,0.65,0.86,0.29,0.18,0.38,0.89,Senior,Middle,Marketing & Professional Services,Private_Professional
Teacher,45233,16,High School,0.68,0.98,0.09,Low,0.32,0.22,0.88,0.48,0.56,0.59,0.64,0.5,0.02,0.33,Senior,Middle,Education,Public_Sector
Nurse,50765,19,PhD,0.68,0.56,0.19,Low,0.21,0.95,0.34,0.33,0.92,0.42,0.96,0.02,0.31,0.67,Senior,Middle,Health & Social Care,Public_Sector
Retail Worker,108766,18,Bachelor's,0.14,0.85,0.8,High,0.51,0.93,0.87,0.13,0.17,0.36,0.29,0.61,0.9,0.96,Senior,High,Retail & Consumer Services,Manual_Trade_Service
Truck Driver,64297,16,High School,0.84,1.03,0.75,High,0.52,0.56,0.74,0.22,0.37,0.36,0.96,0.44,0.76,0.75,Senior,Middle,Transport & Logistics,Manual_Trade_Service
HR Specialist,76126,10,High School,0.57,1.39,0.49,Medium,0.95,0.21,0.07,0.89,0.85,0.99,0.68,0.94,0.83,0.84,Senior,Middle,Business & Professional Services,Private_Professional
Teacher,112694,27,Master's,0.38,1.43,0.16,Low,0.54,0.45,0.56,0.47,0.05,0.88,0.44,0.59,0.14,0.0,Expert/Late,High,Education,Public_Sector
Doctor,117287,21,High School,0.7,0.6,0.28,Low,0.22,0.2,0.18,0.01,0.77,0.88,0.61,0.19,0.29,0.48,Expert/Late,High,Health & Social Care,Public_Sector
Nurse,31082,12,Bachelor's,0.25,1.23,0.16,Low,0.3,0.46,0.07,0.8,0.24,0.73,0.07,0.96,0.19,0.88,Senior,Middle,Health & Social Care,Public_Sector
Security Guard,137252,23,Bachelor's,0.97,0.98,0.88,High,0.37,0.18,0.44,0.17,0.98,0.1,0.59,0.63,0.54,0.66,Expert/Late,High,Security & Protective Services,Manual_Trade_Service
Financial Analyst,31511,17,Bachelor's,0.56,0.79,0.68,Medium,0.76,0.97,0.04,0.29,0.2,0.01,0.24,0.68,0.23,0.51,Senior,Middle,Finance & Professional Services,Private_Professional
Truck Driver,33145,9,Master's,0.69,0.89,0.79,High,0.46,0.18,0.63,0.36,0.85,0.76,0.61,0.36,0.21,0.78,Mid-Level,Middle,Transport & Logistics,Manual_Trade_Service
Software Engineer,115642,19,PhD,0.22,0.7,0.37,Medium,0.78,0.23,0.53,0.45,0.58,0.88,0.87,0.45,0.02,0.43,Senior,High,Digital & Technology,Digital_Creative
Doctor,128303,9,Bachelor's,0.56,1.15,0.09,Low,0.65,0.18,0.75,0.34,0.71,0.05,0.41,0.71,0.23,0.8,Mid-Level,High,Health & Social Care,Public_Sector
Construction Worker,81142,16,Bachelor's,0.59,0.85,0.82,High,0.6,0.47,0.7,0.43,0.2,0.21,0.01,0.3,0.75,0.79,Senior,Middle,Construction,Manual_Trade_Service
Research Scientist,89817,13,PhD,0.96,1.0,0.28,Low,0.71,0.72,0.09,0.22,0.01,0.72,0.34,0.79,0.34,0.82,Senior,Middle,Research & Development,Digital_Creative
Lawyer,124410,0,Master's,0.17,0.84,0.46,Medium,0.35,0.76,0.1,0.35,0.84,0.07,0.94,0.99,0.09,0.29,Entry/Junior,High,Legal Services,Private_Professional
Chef,138139,15,Bachelor's,0.78,1.1,0.56,Medium,0.76,0.12,0.83,0.71,0.58,0.89,0.7,0.2,0.43,0.49,Senior,High,Hospitality & Catering,Manual_Trade_Service
Research Scientist,78657,18,PhD,0.95,0.63,0.22,Low,0.51,0.03,0.92,0.85,0.52,0.23,0.12,0.36,0.26,0.51,Senior,Middle,Research & Development,Digital_Creative
Truck Driver,69309,8,PhD,0.57,1.39,0.86,High,0.48,0.85,0.47,0.87,0.29,0.13,0.86,0.59,0.89,0.94,Mid-Level,Middle,Transport & Logistics,Manual_Trade_Service
UX Researcher,68669,17,Master's,0.49,1.36,0.34,Medium,0.45,0.29,0.1,0.76,0.51,0.56,0.41,0.46,0.12,0.67,Senior,Middle,Digital & Creative Industries,Digital_Creative
Truck Driver,87033,27,PhD,0.82,0.7,0.75,High,0.65,0.85,0.47,0.73,1.0,0.99,0.74,0.74,0.25,0.83,Expert/Late,Middle,Transport & Logistics,Manual_Trade_Service
Teacher,80658,5,PhD,0.96,0.58,0.16,Low,0.56,0.41,0.21,0.59,0.76,0.64,0.23,0.73,0.26,0.18,Mid-Level,Middle,Education,Public_Sector
Software Engineer,136081,29,High School,0.84,0.98,0.51,Medium,0.3,0.49,0.13,0.96,0.8,0.67,0.54,0.79,0.49,0.3,Expert/Late,High,Digital & Technology,Digital_Creative
Software Engineer,48728,11,Bachelor's,0.65,1.43,0.36,Medium,0.18,0.43,0.81,0.29,0.25,0.62,0.54,0.06,0.08,0.64,Senior,Middle,Digital & Technology,Digital_Creative
HR Specialist,52286,15,High School,0.97,1.18,0.3,Low,0.48,0.41,0.11,0.92,0.81,0.23,0.26,0.03,0.3,0.58,Senior,Middle,Business & Professional Services,Private_Professional
Financial Analyst,55727,28,PhD,0.19,1.4,0.38,Medium,0.03,0.02,0.62,0.66,0.31,0.32,0.34,0.68,0.06,0.93,Expert/Late,Middle,Finance & Professional Services,Private_Professional
Marketing Manager,104638,10,Master's,1.0,0.67,0.61,Medium,0.22,0.08,0.87,0.86,0.4,0.7,0.56,0.85,0.32,0.52,Senior,High,Marketing & Professional Services,Private_Professional
Data Scientist,119363,1,PhD,0.35,1.39,0.37,Medium,0.15,0.58,0.66,0.19,0.39,0.95,0.25,0.67,0.74,0.45,Entry/Junior,High,Digital & Technology,Digital_Creative
Construction Worker,141597,26,Bachelor's,0.74,0.96,0.84,High,0.69,0.59,0.88,0.36,0.3,0.21,0.04,0.04,0.87,0.68,Expert/Late,High,Construction,Manual_Trade_Service
Marketing Manager,72756,18,PhD,0.61,1.35,0.49,Medium,0.87,0.36,0.93,0.7,0.26,0.56,0.53,0.14,0.59,0.31,Senior,Middle,Marketing & Professional Services,Private_Professional
Research Scientist,77774,10,High School,0.95,1.14,0.27,Low,0.68,0.36,0.51,0.68,0.96,0.25,0.87,0.92,0.67,0.93,Senior,Middle,Research & Development,Digital_Creative
Retail Worker,119865,12,Master's,0.95,1.2,0.71,High,0.91,0.48,0.46,0.57,0.15,0.47,0.83,0.02,0.27,0.0,Senior,High,Retail & Consumer Services,Manual_Trade_Service
AI Engineer,33692,25,High School,0.73,1.3,0.29,Low,0.61,0.25,0.92,0.78,0.57,0.7,0.92,0.71,0.37,0.71,Expert/Late,Middle,Digital & Technology,Digital_Creative
Research Scientist,139419,4,PhD,0.39,0.91,0.09,Low,0.02,0.13,0.65,0.8,0.99,0.35,0.6,0.94,0.17,0.72,Early Career,High,Research & Development,Digital_Creative
Truck Driver,48782,6,Bachelor's,0.09,1.36,0.9,High,0.03,0.09,0.05,0.33,0.51,0.53,0.27,0.91,0.37,0.05,Mid-Level,Middle,Transport & Logistics,Manual_Trade_Service
Retail Worker,140349,14,Master's,0.53,0.91,0.77,High,0.13,0.82,1.0,0.33,0.38,0.62,0.72,0.39,0.9,0.56,Senior,High,Retail & Consumer Services,Manual_Trade_Service
Software Engineer,80075,22,Bachelor's,0.65,1.45,0.62,Medium,0.04,0.33,0.47,0.31,0.7,0.83,0.73,0.99,0.27,0.87,Expert/Late,Middle,Digital & Technology,Digital_Creative
Mechanic,120629,22,Bachelor's,0.36,1.23,0.34,Medium,0.79,0.53,0.29,0.66,0.64,0.21,0.03,0.43,0.57,0.88,Expert/Late,High,Transport & Automotive Services,Manual_Trade_Service
AI Engineer,135899,24,Bachelor's,0.53,1.25,0.16,Low,0.75,0.2,0.37,0.63,0.02,0.72,0.84,0.4,0.45,0.85,Expert/Late,High,Digital & Technology,Digital_Creative
Marketing Manager,115333,1,Master's,0.29,0.82,0.57,Medium,0.56,0.16,0.31,0.9,0.69,0.99,0.77,0.94,0.22,0.77,Entry/Junior,High,Marketing & Professional Services,Private_Professional
Mechanic,93908,22,Master's,0.67,0.97,0.44,Medium,0.86,0.85,0.02,0.61,0.37,0.42,0.83,0.31,0.94,0.18,Expert/Late,Middle,Transport & Automotive Services,Manual_Trade_Service
Retail Worker,41564,3,Master's,0.67,0.75,0.78,High,0.83,0.76,0.33,0.53,0.06,0.21,0.49,0.09,0.84,0.72,Early Career,Middle,Retail & Consumer Services,Manual_Trade_Service
Truck Driver,144507,9,High School,0.56,1.09,0.79,High,0.28,0.27,0.17,0.33,0.2,0.63,0.57,0.38,0.33,0.24,Mid-Level,High,Transport & Logistics,Manual_Trade_Service
Graphic Designer,147679,29,Master's,0.92,1.19,0.6,Medium,0.83,0.35,0.06,0.62,0.19,0.57,0.74,0.78,0.3,0.51,Expert/Late,High,Creative Industries,Digital_Creative
Research Scientist,132811,12,Master's,0.82,1.26,0.3,Low,0.01,0.44,0.26,0.12,0.91,1.0,0.18,0.04,0.28,0.83,Senior,High,Research & Development,Digital_Creative
UX Researcher,54940,26,Master's,0.06,0.55,0.47,Medium,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01,Expert/Late,Middle,Digital & Creative Industries,Digital_Creative
Software Engineer,144326,14,PhD,0.39,0.8,0.56,Medium,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59,Senior,High,Digital & Technology,Digital_Creative
Nurse,30511,18,Master's,0.67,0.73,0.13,Low,0.96,0.35,0.35,0.6,0.97,0.98,0.58,0.0,0.9,0.57,Senior,Middle,Health & Social Care,Public_Sector
Software Engineer,49359,26,Bachelor's,0.9,0.77,0.41,Medium,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15,Expert/Late,Middle,Digital & Technology,Digital_Creative
Mechanic,36265,15,High School,0.56,0.61,0.36,Medium,0.3,0.28,0.6,0.82,0.76,0.26,0.25,0.97,0.01,0.88,Senior,Middle,Transport & Automotive Services,Manual_Trade_Service
Lawyer,122313,25,Master's,0.95,0.84,0.48,Medium,0.71,0.59,0.32,0.55,0.73,0.04,0.01,0.46,0.13,0.66,Expert/Late,High,Legal Services,Private_Professional
Chef,39280,1,PhD,0.43,0.7,0.52,Medium,0.12,0.02,0.05,0.95,0.14,0.71,0.07,0.11,0.51,0.46,Entry/Junior,Middle,Hospitality & Catering,Manual_Trade_Service
Construction Worker,80281,26,Bachelor's,0.94,1.28,0.85,High,0.45,0.36,0.95,0.6,0.58,0.23,0.05,0.95,0.31,0.44,Expert/Late,Middle,Construction,Manual_Trade_Service
UX Researcher,98354,16,High School,0.84,0.53,0.63,Medium,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4,Senior,Middle,Digital & Creative Industries,Digital_Creative
